NO_RANK	0	
SUPERKINGDOM	1	
KINGDOM	2	
SUBKINGDOM	3	
SUPERPHYLUM	4	
SUBPHYLUM	5	
PHYLUM	6	
CLADE	31	
SUPERCLASS	7	
CLASS	8	
SUBCLASS	9	
INFRACLASS	10	
COHORT	11	
SUBCOHORT	12	
SUPERORDER	13	
ORDER	14	
SUBORDER	15	
INFRAORDER	16	
PARVORDER	17	
SUPERFAMILY	18	
FAMILY	19	
SUBFAMILY	20	
GENUS	21	
SUBGENUS	22	
SPECIES_GROUP	23	
SPECIES_SUBGROUP	24	
SPECIES	25	
SUBSPECIES	26	
TRIBE	27	
SUBTRIBE	28	
FORMA	29	
VARIETAS	30	
STRAIN	320	
SECTION	330	
SUBSECTION	340	
PATHOGROUP	350	
SUBVARIETY	360	
GENOTYPE	370	
SEROTYPE	380	
ISOLATE	390	
MORPH	400	
SERIES	410	
FORMA_SPECIALIS	420	
SEROGROUP	430	
BIOTYPE	440	